network_packet_size,login_attempts,ip_reputation_score,failed_logins,unusual_time_access,session_duration_log,protocol_type_TCP,protocol_type_UDP,encryption_used_DES,encryption_used_None,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown,attack_detected
-0.8075711106363455,-0.5187268830506643,-0.617070740457066,-1.4562730478182984,0,0.24299944305153687,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.8202478827244177,-1.5234244681056006,-1.3182567891129073,0.49833954288198384,1,0.7136116671870789,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.29856269475573527,-0.016378090523196047,2.4842981778904436,-1.4562730478182984,0,-0.1625832435763583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.7470948632049859,1.4906682870592085,-0.02208112510819811,-1.4562730478182984,0,1.1839171573736391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-1.7197545093926863,-1.0210756755781325,-0.07570212323141848,-1.4562730478182984,0,0.89181534719928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.13225301431949632,-0.5187268830506643,1.9453591823033014,-0.47896675246815723,1,0.5953858232094852,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1.3443753604628677,-0.016378090523196047,-0.2565376713502837,-1.4562730478182984,0,-0.9569994860358817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.4523507108503133,-0.016378090523196047,0.2782939409303036,-0.47896675246815723,0,0.1315744792720748,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.19532665926703494,-1.0210756755781325,-1.3555766311613844,-0.47896675246815723,0,1.1465004271521813,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0.4926682091378864,-0.016378090523196047,-0.5881383784447777,-1.4562730478182984,0,0.7951034871263878,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1.2385419274579883,-1.0210756755781325,0.29586401474388074,0.49833954288198384,0,0.4175914182851454,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.3367382756607422,0.4859707020042721,0.5890914620323251,-0.47896675246815723,0,0.42773706812299483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-1.064595162219624,0.9883194945317403,0.8703136654056649,-0.47896675246815723,0,0.5703041572168134,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
