session_id,network_packet_size,login_attempts,ip_reputation_score,failed_logins,unusual_time_access,session_duration_log,protocol_type_TCP,protocol_type_UDP,encryption_used_DES,encryption_used_None,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown,attack_detected
0,-0.3993800229307215,-0.5253599288269108,1.4749606072249979,0.46724975150685744,0,-0.020601001169237784,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,-1.2396511137964228,-0.018405844682549747,-0.8903913008746671,-0.5008844612456781,0,-0.7345425711890373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.5009104315682442,-0.5253599288269108,-1.8620119951353775,-0.5008844612456781,1,-0.3772057842257225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0,-2.034907681937176,-1.539268097115633,1.360015310914101,1.4353839642593929,0,0.40756962531561947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0.48590559065992817,-1.0323140129712718,0.0028330424206331386,0.46724975150685744,0,-0.035543814683854605,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,0.5709330224737194,-0.5253599288269108,1.1460203109859097,0.46724975150685744,0,-0.7059882005062779,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,0.6959733633763535,1.5024564077505334,-1.182292673221651,-0.5008844612456781,0,-0.4955062567449921,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0,0.9660604997260432,-0.018405844682549747,-0.6677732821134827,0.46724975150685744,0,-0.10473195274284812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,2.031404204216486,-1.539268097115633,-0.43513686817319097,-1.4690186739982136,0,1.1465814421021738,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.5809362497459301,2.0094104918948945,0.11343467960124975,-0.5008844612456781,0,0.45501595415500745,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0,1.7113009315057426,-0.5253599288269108,-0.6150904696637484,-1.4690186739982136,1,-0.9750532011910613,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,-0.5344235911055664,0.4885482394618113,-0.956536987730383,1.4353839642593929,0,1.5099765205812838,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,0.7259830451929857,-0.018405844682549747,-1.5778432584538842,-1.4690186739982136,0,-0.15446652162750132,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,-1.0045752728994706,-0.018405844682549747,-1.6300567933373815,-1.4690186739982136,0,-1.4587518594124096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,-1.5647560001432717,-1.0323140129712718,-0.8618760022387069,2.4035181770119283,1,0.17827282763683974,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
